"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,E-POVO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,ESG SÃO JOSE,0702704 .,800,101,305,148,1,555,4,13,572,228
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,ESG SÃO JOSE,0702705 .,800,100,288,119,3,510,5,5,520,280
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,ESG SÃO JOSE,0702706A .,400,49,143,53,0,245,2,5,252,148
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,ESG SÃO JOSE,0702706B .,517,63,162,75,1,301,6,9,316,201
SOFALA,CIDADE DA BEIRA,MUNHAVA,VAZ,EPC COMUNITÁRIA VAZ,0703001 .,800,113,236,190,5,544,8,23,575,225
SOFALA,CIDADE DA BEIRA,MUNHAVA,VAZ,EPC COMUNITÁRIA VAZ,0703002 .,800,123,236,150,1,510,7,18,535,265
SOFALA,CIDADE DA BEIRA,MUNHAVA,VAZ,EPC COMUNITÁRIA VAZ,0703003 .,800,131,253,150,2,536,11,6,553,247
SOFALA,CIDADE DA BEIRA,MUNHAVA,VAZ,EPC COMUNITÁRIA VAZ,0703004 .,800,102,284,127,0,513,7,9,529,271
SOFALA,CIDADE DA BEIRA,MUNHAVA,VAZ,EPC COMUNITÁRIA VAZ,0703005 .,800,82,259,170,1,512,10,6,528,272
SOFALA,CIDADE DA BEIRA,MUNHAVA,VAZ,EPC COMUNITÁRIA VAZ,0703006 .,800,88,251,149,1,489,4,6,499,301
SOFALA,CIDADE DA BEIRA,MUNHAVA,VAZ,EPC COMUNITÁRIA VAZ,0703007A .,400,69,189,108,0,366,4,15,385,15
SOFALA,CIDADE DA BEIRA,MUNHAVA,VAZ,EPC COMUNITÁRIA VAZ,0703007B .,614,36,99,58,0,193,5,7,205,409
SOFALA,CIDADE DA BEIRA,NHANGAU,MAGOLOGODO,EP1 DE NHANGOMA,0706201 .,515,85,156,60,5,306,12,25,343,172
SOFALA,CIDADE DA BEIRA,NHANGAU,NDJALANE,EP1 DE NDJALANE,0706301 .,721,136,215,62,6,419,23,17,459,262
SOFALA,CIDADE DA BEIRA,NHANGAU,NDJALANE,EP1 DE NHANKHAMBA,0706401 .,405,37,87,100,3,227,9,9,245,160
SOFALA,CIDADE DA BEIRA,NHANGAU,NHANGAU- SEDE,EPC DE NHAMBIRA,0706005 .,201,30,23,38,2,93,11,4,108,93
