Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,JPC,CAD,E-POVO,UE,PPPM,PVM,PASOMO,SCM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",DPCCN -RELENTO,1106903 .,800,287,23,179,4,0,0,0,0,7,1,1,0,502,3,10,515,285
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",DPCCN -RELENTO,1106904 .,800,285,20,159,2,0,0,0,0,2,1,0,2,471,6,10,487,313
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",DPCCN -RELENTO,1106905 .,800,295,15,182,1,0,0,0,0,2,0,0,0,495,4,11,510,290
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",DPCCN -RELENTO,1106906 .,461,169,12,88,0,1,0,0,0,3,1,1,1,276,1,4,281,180
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",ESCOLA COMUNITÁRIA 7 DE ABRIL,1107001 .,800,306,18,168,0,0,1,3,1,0,0,2,0,499,6,22,527,273
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",ESCOLA COMUNITÁRIA 7 DE ABRIL,1107002 .,800,236,30,190,1,0,0,1,0,0,1,0,0,459,8,18,485,315
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",ESCOLA COMUNITÁRIA 7 DE ABRIL,1107003 .,800,283,19,163,2,0,0,0,0,0,0,1,0,468,5,15,488,312
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",ESCOLA COMUNITÁRIA 7 DE ABRIL,1107004 .,800,282,14,168,1,1,0,1,1,0,0,0,1,469,4,13,486,314
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",ESCOLA COMUNITÁRIA 7 DE ABRIL,1107005 .,800,266,21,170,4,1,0,0,0,0,0,1,0,463,2,13,478,322
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",ESCOLA COMUNITÁRIA 7 DE ABRIL,1107006 .,800,274,18,155,1,2,0,0,0,2,0,1,1,454,9,9,472,328
