Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,JPC,CAD,E-POVO,UE,PPPM,PVM,PASOMO,SCM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA PRIMÁRIA 10 DE NOVEMBRO,1109605 .,800,293,35,170,6,0,0,0,0,0,1,1,1,507,1,5,513,287
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA PRIMÁRIA 10 DE NOVEMBRO,1109606 .,425,148,14,84,1,0,0,0,0,0,0,2,0,249,1,5,255,170
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,MAHOTAS,AVENIDA SEBASTIÃO MARCOS MABOTE,1110701 .,800,305,17,174,1,3,0,0,0,0,0,0,1,501,4,9,514,286
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,MAHOTAS,AVENIDA SEBASTIÃO MARCOS MABOTE,1110702 .,800,279,33,179,0,1,2,0,0,0,0,0,0,494,1,5,500,300
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,MAHOTAS,AVENIDA SEBASTIÃO MARCOS MABOTE,1110703 .,800,225,22,194,0,0,0,0,0,1,0,0,0,442,8,12,462,338
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,MAHOTAS,AVENIDA SEBASTIÃO MARCOS MABOTE,1110704 .,767,243,16,177,2,0,1,0,0,0,0,0,1,440,1,2,443,324
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,MAHOTAS,CAMPO PRÓXIMO DO CRPS - RELENTO,1110201 .,800,293,16,213,0,0,1,0,0,0,0,0,1,524,7,14,545,255
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,MAHOTAS,CAMPO PRÓXIMO DO CRPS - RELENTO,1110202 .,800,289,28,184,3,3,0,0,0,0,0,1,0,508,6,3,517,283
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,MAHOTAS,CAMPO PRÓXIMO DO CRPS - RELENTO,1110203 .,800,272,23,203,2,2,0,0,2,2,0,0,0,506,1,12,519,281
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,MAHOTAS,CAMPO PRÓXIMO DO CRPS - RELENTO,1110204 .,800,252,21,195,3,1,0,1,0,1,0,1,0,475,5,5,485,315
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,MAHOTAS,CAMPO PRÓXIMO DO CRPS - RELENTO,1110205 .,800,259,21,212,3,1,0,0,0,2,1,0,0,499,3,7,509,291
