Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,AMUSI,PAHUMO,MAMO,AMAJPS,PLDS,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,MULILA,0303801 .,800,113,19,299,11,0,0,0,1,443,10,27,480,320
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,MULILA,0303802 .,800,126,27,378,8,0,1,0,0,540,10,14,564,236
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,MULILA,0303803 .,800,142,39,304,5,0,0,2,3,495,9,4,508,292
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,MULILA,0303804 .,800,115,31,299,4,0,1,0,0,450,16,12,478,322
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,MULILA,0303805 .,800,133,29,354,9,0,3,2,2,532,11,14,557,243
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,MULILA,0303806 .,800,130,27,326,11,0,3,0,0,497,9,9,515,285
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,MULILA,0303807 .,800,123,21,314,4,0,0,1,4,467,0,7,474,326
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,MULILA,0303808 .,400,52,10,181,4,0,1,0,0,248,5,2,255,145
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,CENTRO HIPICO,0304801 .,800,250,19,245,5,0,2,0,2,523,11,38,572,228
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,CENTRO HIPICO,0304802 .,800,254,15,273,2,0,1,1,1,547,11,9,567,233
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,CENTRO HIPICO,0304803 .,800,223,19,273,4,0,1,2,2,524,12,14,550,250
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,CENTRO HIPICO,0304804 .,800,176,18,283,5,1,1,0,1,485,2,12,499,301
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,CENTRO HIPICO,0304805 .,800,206,12,258,6,3,0,1,2,488,12,12,512,288
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,CENTRO HIPICO,0304806 .,800,233,17,286,2,2,0,0,5,545,12,2,559,241
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,CENTRO HIPICO,0304807 .,800,190,21,290,5,0,1,2,1,510,6,8,524,276
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,CENTRO HIPICO,0304808 .,310,86,6,108,1,0,0,0,0,201,1,2,204,106
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NAMICOPO,0305001 .,800,156,15,350,5,0,1,1,6,534,8,10,552,248
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NAMICOPO,0305002 .,800,146,14,373,6,1,2,0,2,544,6,12,562,238
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NAMICOPO,0305003 .,800,142,10,393,1,0,3,0,1,550,4,5,559,241
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NAMICOPO,0305004 .,800,110,17,323,7,1,1,0,1,460,9,15,484,316
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NAMICOPO,0305005 .,800,108,9,307,4,0,1,0,4,433,7,17,457,343
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NAMICOPO,0305006 .,800,133,19,302,3,1,0,1,1,460,15,12,487,313
