"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,CAD,PJDM,E-POVO,PVM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BENFICA NOVA,1010902 .,800,277,17,193,3,0,1,0,1,492,5,8,505,295
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BENFICA NOVA,1010903 .,800,249,22,182,1,1,0,0,0,455,0,6,461,339
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BENFICA NOVA,1010904 .,800,270,17,208,1,0,0,1,0,497,2,8,507,293
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BENFICA NOVA,1010905 .,800,262,17,181,0,0,0,0,1,461,4,7,472,328
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BENFICA NOVA,1010906 .,621,186,9,155,0,0,0,0,0,350,4,1,355,266
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BOQUISSO,1013001 .,800,202,8,198,0,2,0,0,0,410,6,14,430,370
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BOQUISSO,1013002 .,800,164,15,166,0,1,1,0,0,347,4,10,361,439
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BOQUISSO,1013003 .,800,149,8,221,0,0,2,0,0,380,5,6,391,409
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BOQUISSO,1013004 .,800,157,12,194,1,0,1,0,1,366,4,8,378,422
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BOQUISSO,1013005 .,511,93,6,131,0,0,1,0,0,231,1,8,240,271
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BOQUISSO,10132-01C .,489,139,11,119,0,0,0,0,1,270,1,11,282,207
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BOQUISSO,1013201B .,400,85,5,87,1,1,0,0,0,179,1,0,180,220
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010101 .,800,291,13,220,0,1,1,0,0,526,7,19,552,248
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010102 .,800,238,21,223,1,2,0,0,1,486,5,16,507,293
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010103 .,800,247,16,217,0,1,0,0,0,481,2,18,501,299
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010104 .,800,263,23,199,0,1,1,0,1,488,3,10,501,299
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010105 .,800,249,17,218,0,0,0,0,0,484,4,5,493,307
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010106 .,656,168,17,168,0,0,0,1,1,355,2,11,368,288
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010201 .,800,289,17,213,1,4,2,0,0,526,5,8,539,261
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010202 .,800,265,14,204,1,1,0,0,1,486,7,13,506,294
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010203 .,800,228,18,251,1,2,1,1,1,503,2,10,515,285
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010204 .,800,232,12,236,0,0,3,0,0,483,8,9,500,300
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010205 .,800,237,13,240,1,1,2,0,1,495,3,13,511,289
